"","submission_date","state","tot_cases","new_case","tot_death","new_death","created_at"
"18697",2020-02-06,"NJ",0,0,0,0,"2020-03-26T16:22:39.452"
"18698",2020-05-11,"WY",669,7,7,0,"2020-05-12T17:26:08.000"
"18699",2020-07-22,"VA",81237,844,2054,3,"2020-07-23T14:48:19.028"
"18700",2020-02-20,"AZ",1,0,0,0,"2020-03-26T16:22:39.452"
"18701",2021-05-15,"VA",670184,280,11018,10,"2021-05-16T13:46:12.437"
"18702",2020-07-01,"MN",37210,494,1495,13,"2020-07-02T15:10:03.527"
"18705",2020-03-14,"VA",29,0,0,0,"2020-03-26T16:22:39.452"
"18706",2020-10-05,"WY",6629,125,53,0,"2020-10-06T13:33:58.026"
"18707",2021-05-25,"MN",599477,243,7474,11,"2021-05-26T13:48:32.554"
"18708",2021-08-12,"AZ",955767,2970,18412,6,"2021-08-13T13:45:25.506"
"18709",2021-12-06,"LA",773621,832,14837,11,"2021-12-07T14:35:03.419"
"18710",2020-07-07,"RI",17045,48,993,4,"2022-01-14T13:53:09.122"
"18711",2020-05-26,"AZ",16783,222,807,1,"2020-05-27T15:37:59.621"
"18712",2020-12-17,"OR",98936,1314,1283,21,"2020-12-18T14:45:01.331"
"18713",2021-08-10,"LA",596534,6088,11353,93,"2021-08-11T15:30:51.957"
"18714",2020-09-21,"MN",91422,480,2031,10,"2020-09-22T13:51:57.795"
"18715",2021-07-25,"RI",153163,90,2740,0,"2022-01-14T13:53:09.122"
"18716",2021-01-21,"MN",450762,1270,6079,32,"2021-01-22T14:51:49.095"
"18717",2020-12-01,"WY",33805,500,230,15,"2020-12-02T15:48:48.293"
"18718",2021-01-29,"NJ",687269,5986,21383,82,"2021-01-30T14:43:11.492"
"18720",2020-11-14,"LA",201981,0,6121,0,"2020-11-15T15:12:13.050"
"18721",2021-10-26,"MN",779749,6522,8705,22,"2021-10-27T14:21:35.386"
"18723",2020-08-03,"KY",35166,398,915,4,"2020-08-05T00:00:00.000"
"18724",2021-11-08,"RI",182263,225,2889,1,"2022-01-14T13:53:09.122"
"18726",2021-06-20,"MN",604509,109,7638,8,"2021-06-21T16:43:32.594"
"18727",2021-07-12,"WY",63138,58,751,0,"2021-07-13T14:26:25.742"
"18728",2021-11-24,"RI",189414,606,2919,0,"2022-01-14T13:53:09.122"
"18730",2020-11-02,"MN",153620,2948,2538,9,"2020-11-03T14:57:05.887"
"18731",2021-01-12,"MN",438867,1315,5792,13,"2021-01-13T14:44:58.633"
"18732",2020-12-16,"VA",296093,3853,4553,45,"2020-12-17T14:33:42.543"
"18733",2020-08-10,"RI",19886,34,1038,0,"2022-01-14T13:53:09.122"
"18734",2022-01-09,"WY",119857,0,1572,0,"2022-01-10T15:08:19.537"
"18736",2021-06-11,"KY",460392,208,7746,5,"2021-06-13T00:00:00.000"
"18737",2020-03-26,"WY",55,11,0,0,"2020-03-26T16:22:39.452"
"18738",2021-12-13,"KY",817349,1072,12120,11,"2021-12-15T00:00:00.000"
"18739",2021-01-16,"VA",439305,9914,5729,23,"2021-01-17T15:43:14.832"
"18741",2021-10-03,"MN",717146,1178,8285,6,"2021-10-04T13:57:57.568"
"18742",2020-12-17,"MN",389171,2759,4717,83,"2020-12-18T14:45:01.331"
"18744",2020-10-24,"VA",173371,999,3579,1,"2020-10-25T13:45:35.790"
"18745",2021-04-19,"RI",144722,203,2661,0,"2022-01-14T13:53:09.122"
"18746",2021-02-19,"KY",401333,1513,6794,19,"2021-02-21T00:00:00.000"
"18747",2021-04-25,"WY",57778,41,705,0,"2021-04-26T13:45:41.711"
"18748",2020-03-27,"LA",2746,441,119,36,"2020-03-26T16:22:39.452"
"18749",2021-06-26,"LA",479834,313,10724,1,"2021-06-28T13:23:06.921"
"18751",2020-12-17,"SC",267826,2948,4835,43,"2020-12-17T00:00:00.000"
"18752",2021-12-12,"SC",931484,1140,14403,11,"2021-12-12T00:00:00.000"
"18753",2020-12-06,"AZ",364553,5379,6950,25,"2020-12-07T14:38:33.257"
"18755",2021-12-01,"WY",111275,186,1428,0,"2021-12-02T14:35:20.922"
"18756",2021-04-13,"RI",142552,495,2650,2,"2022-01-14T13:53:09.122"
"18759",2020-09-24,"LA",164446,577,5423,16,"2020-09-25T13:54:10.196"
"18761",2020-02-26,"WY",0,0,0,0,"2020-03-26T16:22:39.452"
"18762",2021-04-25,"LA",456135,297,10336,0,"2021-04-26T13:45:41.711"
"18763",2020-09-15,"NJ",201616,492,16043,9,"2020-09-15T00:00:00.000"
"18764",2022-01-10,"WY",121519,1662,1572,0,"2022-01-11T14:42:53.294"
"18765",2020-11-30,"RI",56837,756,1411,9,"2022-01-14T13:53:09.122"
"18766",2020-10-26,"RI",31139,191,1194,2,"2022-01-14T13:53:09.122"
"18767",2020-02-11,"KY",0,0,0,0,"2020-03-26T16:22:39.452"
"18769",2020-03-07,"VA",0,0,0,0,"2020-03-26T16:22:39.452"
"18770",2021-08-08,"NJ",1049222,1169,26650,5,"2021-08-09T14:44:15.398"
"18771",2020-03-26,"OR",316,50,11,1,"2020-03-26T16:22:39.452"
"18772",2021-05-20,"SC",589175,380,9617,2,"2021-05-20T00:00:00.000"
"18773",2020-08-19,"LA",139903,778,4609,55,"2020-08-20T15:11:45.225"
"18775",2021-03-21,"LA",439737,0,9988,0,"2021-03-22T13:57:09.215"
"18776",2021-02-09,"OR",147932,513,2031,7,"2021-02-10T14:52:16.601"
"18777",2021-07-27,"OR",216875,1022,2843,5,"2021-07-28T13:51:39.509"
"18778",2021-06-03,"NJ",1017049,286,26247,0,"2021-06-04T14:56:57.843"
"18780",2020-10-13,"NJ",221841,1191,16182,7,"2020-10-13T00:00:00.000"
"18781",2020-11-13,"WY",21341,862,127,0,"2020-11-14T14:44:40.037"
"18782",2021-04-29,"RI",147532,291,2677,2,"2022-01-14T13:53:09.122"
"18783",2020-12-12,"KY",226030,2895,3798,65,"2020-12-14T00:00:00.000"
"18784",2020-11-22,"AZ",299900,4334,6464,7,"2020-11-23T15:04:35.152"
"18785",2022-01-02,"MN",1022212,0,10656,0,"2022-01-03T15:18:16.200"
"18786",2020-11-04,"AZ",250814,818,6059,39,"2020-11-05T14:39:23.079"
"18787",2020-02-17,"WY",0,0,0,0,"2020-03-26T16:22:39.452"
"18788",2021-10-24,"KY",741950,838,11365,19,"2021-10-26T00:00:00.000"
"18789",2020-04-24,"KY",3597,179,219,9,"2022-01-05T16:13:19.849"
"18791",2021-12-28,"NJ",1468881,15234,28917,48,"2021-12-29T14:30:55.917"
"18792",2021-12-29,"RI",228368,3581,3065,4,"2022-01-14T13:53:09.122"
"18793",2021-09-01,"VA",774098,4256,11880,19,"2021-09-02T13:49:05.431"
"18794",2021-09-11,"SC",795423,5935,11221,68,"2021-09-11T00:00:00.000"
"18795",2020-10-24,"KY",99421,1734,1912,24,"2020-10-26T00:00:00.000"
"18796",2021-02-22,"KY",404110,504,6857,19,"2021-02-24T00:00:00.000"
"18797",2021-10-10,"KY",723062,1561,10912,29,"2021-10-12T00:00:00.000"
"18798",2021-07-22,"AZ",912653,1174,18137,10,"2021-07-23T13:48:31.666"
"18799",2020-07-29,"MN",53692,745,1634,5,"2020-07-30T14:42:43.801"
"18800",2022-01-02,"RI",241416,2167,3097,7,"2022-01-14T13:53:09.122"
"18801",2020-11-24,"OR",67333,1000,847,21,"2020-11-25T14:53:15.184"
"18802",2020-10-26,"AZ",239103,802,5875,1,"2020-10-27T13:47:53.687"
"18803",2020-08-19,"KY",45795,691,1058,10,"2020-08-21T00:00:00.000"
"18804",2021-02-05,"MN",466224,1048,6341,22,"2021-02-06T16:05:17.977"
"18805",2021-07-20,"WY",63840,131,766,6,"2021-07-21T14:18:34.888"
"18806",2020-03-18,"MN",89,12,0,0,"2020-03-26T16:22:39.452"
"18807",2021-06-23,"LA",478946,482,10709,10,"2021-06-24T15:16:23.268"
"18808",2021-12-27,"LA",802537,12164,14970,17,"2021-12-28T17:00:54.976"
"18809",2021-02-24,"OR",154062,417,2194,32,"2021-02-25T14:54:32.778"
"18810",2021-10-29,"LA",758471,241,14547,22,"2021-10-30T13:29:20.544"
"18811",2020-11-20,"WY",27129,960,176,0,"2020-11-21T14:59:41.222"
"18812",2020-10-07,"LA",172625,2156,5604,12,"2020-10-08T13:56:57.885"
"18813",2020-05-12,"SC",7855,139,336,7,"2020-05-12T00:00:00.000"
"18814",2020-12-04,"RI",62518,1603,1457,12,"2022-01-14T13:53:09.122"
"18815",2021-12-20,"KY",832217,1232,12202,7,"2021-12-22T00:00:00.000"
"18816",2021-10-23,"NJ",1188709,1140,27848,20,"2021-10-25T15:25:56.107"
"18818",2020-12-02,"KY",193502,3743,3223,41,"2020-12-04T00:00:00.000"
"18820",2020-05-11,"SC",7716,107,329,3,"2020-05-11T00:00:00.000"
"18821",2020-09-20,"SC",141058,952,3172,10,"2020-09-20T00:00:00.000"
"18823",2021-02-14,"NJ",745987,2168,22454,14,"2021-02-15T14:46:24.739"
"18824",2020-03-01,"RI",0,0,0,0,"2022-01-14T13:53:09.122"
"18825",2020-04-02,"AZ",1598,185,32,3,"2020-04-01T16:22:39.452"
"18826",2021-08-17,"RI",158248,371,2750,0,"2022-01-14T13:53:09.122"
"18827",2020-05-16,"AZ",13631,462,679,28,"2020-05-17T15:27:46.000"
"18828",2020-03-15,"WY",3,1,0,0,"2020-03-26T16:22:39.452"
"18829",2021-10-04,"WY",91979,270,996,0,"2021-10-05T13:39:21.219"
"18830",2021-10-21,"OR",356061,1380,4275,40,"2021-10-22T14:05:10.898"
"18831",2021-07-30,"SC",618727,2269,9912,2,"2021-07-30T00:00:00.000"
"18832",2020-06-05,"AZ",24332,1579,1012,16,"2020-06-06T14:31:37.908"
"18833",2020-06-15,"RI",15988,32,910,3,"2022-01-14T13:53:09.122"
"18834",2021-12-18,"KY",829380,2004,12185,13,"2021-12-20T00:00:00.000"
"18835",2020-06-14,"MN",30693,521,1335,21,"2020-06-15T14:33:03.950"
"18836",2020-08-05,"OR",19978,279,338,5,"2020-08-06T14:12:27.571"
"18837",2020-11-21,"OR",63668,1493,819,7,"2020-11-22T15:02:23.399"
"18838",2020-10-20,"RI",28789,312,1178,1,"2022-01-14T13:53:09.122"
"18841",2021-06-21,"KY",461975,62,7788,3,"2021-06-23T00:00:00.000"
"18842",2021-03-27,"VA",615367,1392,10199,20,"2021-03-28T13:52:27.652"
"18843",2021-05-25,"KY",456499,378,7654,9,"2021-05-27T00:00:00.000"
"18844",2021-09-11,"MN",667388,892,7988,3,"2021-09-13T12:52:39.088"
"18846",2020-08-23,"AZ",198178,209,4771,15,"2020-08-24T13:54:34.344"
"18847",2021-04-08,"NJ",942311,4332,24783,34,"2021-04-09T14:11:49.640"
"18848",2021-12-06,"OR",396501,1932,5268,25,"2021-12-07T14:35:03.419"
"18849",2021-01-26,"OR",139355,768,1904,22,"2021-01-27T14:53:24.793"
"18850",2020-06-24,"RI",16494,76,954,7,"2022-01-14T13:53:09.122"
"18851",2021-11-02,"MN",805015,7031,8842,24,"2021-11-03T13:51:46.667"
"18852",2021-09-13,"NJ",1119051,1545,27079,21,"2021-09-14T14:22:50.463"
"18853",2021-01-10,"MN",436572,2159,5775,44,"2021-01-11T15:01:02.286"
"18854",2020-02-26,"SC",0,0,0,0,"2020-03-26T16:22:39.452"
"18855",2021-05-03,"AZ",864579,652,17344,0,"2021-05-04T14:00:10.529"
"18858",2020-09-27,"MN",97638,1979,2067,11,"2020-09-28T13:50:59.474"
"18859",2020-09-17,"VA",138702,1242,2949,29,"2020-09-18T13:48:37.104"
"18860",2021-11-04,"LA",761311,620,14597,12,"2021-11-05T14:19:47.220"
"18861",2021-02-07,"AZ",781103,1547,14048,37,"2021-02-08T14:53:12.094"
"18862",2021-11-20,"MN",871203,0,9279,0,"2021-11-22T13:59:30.630"
"18863",2020-12-05,"AZ",359174,6802,6925,40,"2020-12-06T14:51:16.617"
"18864",2020-06-21,"WY",1197,18,20,0,"2020-06-22T15:24:02.542"
"18866",2020-07-07,"MN",39133,0,1514,0,"2020-07-08T14:12:08.319"
"18867",2021-02-27,"WY",54350,0,671,0,"2021-02-28T14:48:18.530"
"18868",2021-06-25,"WY",61951,104,740,0,"2021-06-26T14:17:39.224"
"18870",2021-12-08,"MN",948490,3045,9898,75,"2021-12-09T14:45:23.102"
"18871",2020-12-02,"VA",244503,2022,4147,34,"2020-12-03T15:21:08.669"
"18872",2020-04-16,"SC",3768,95,97,5,"2020-04-16T00:00:00.000"
"18873",2021-12-16,"WY",113478,119,1502,0,"2021-12-17T14:18:55.723"
"18874",2020-08-24,"WY",3603,24,37,0,"2020-08-25T14:02:54.539"
"18875",2020-04-17,"MN",2174,161,115,14,"2020-04-17T16:22:39.452"
"18876",2021-06-20,"VA",678649,49,11351,3,"2021-06-20T00:00:00.000"
"18877",2020-12-11,"OR",91420,1582,1138,15,"2020-12-12T14:59:37.544"
"18879",2020-09-20,"AZ",214018,365,5476,9,"2020-09-21T13:47:41.215"
"18881",2021-11-26,"NJ",1243354,2144,28326,3,"2021-11-27T14:19:28.241"
"18882",2021-01-05,"NJ",551419,5328,19382,138,"2021-01-06T14:58:26.308"
"18883",2020-09-13,"OR",29337,181,509,4,"2020-09-14T14:01:21.851"
"18884",2020-02-29,"WY",0,0,0,0,"2020-03-26T16:22:39.452"
"18887",2020-10-27,"AZ",240262,1159,5891,16,"2020-10-28T13:52:28.313"
"18888",2022-01-03,"LA",859856,31161,15001,15,"2022-01-04T14:43:16.993"
"18889",2020-05-14,"KY",7475,202,383,5,"2020-05-16T00:00:00.000"
"18890",2020-11-18,"RI",46039,1400,1304,5,"2022-01-14T13:53:09.122"
"18891",2020-02-05,"NJ",0,0,0,0,"2020-03-26T16:22:39.452"
"18892",2022-01-15,"MN",1138246,0,11111,0,"2022-01-17T14:19:13.740"
"18893",2021-11-26,"SC",916717,845,14194,8,"2021-11-26T00:00:00.000"
"18894",2021-02-05,"LA",409861,866,9076,32,"2021-02-06T16:05:17.977"
"18895",2020-12-04,"OR",81437,2144,1003,30,"2020-12-05T14:29:17.537"
"18896",2021-01-25,"VA",483326,4707,6174,93,"2021-01-26T14:46:01.604"
"18897",2020-06-16,"SC",20298,615,603,1,"2020-06-16T00:00:00.000"
"18898",2020-10-28,"MN",139444,1908,2440,19,"2020-10-29T14:11:33.577"
"18899",2020-12-09,"AZ",382887,4447,7081,108,"2020-12-10T14:50:16.790"
"18900",2020-02-05,"AZ",1,0,0,0,"2020-03-26T16:22:39.452"
"18901",2021-06-08,"LA",473879,102,10622,3,"2021-06-09T14:26:44.647"
"18902",2020-12-26,"SC",299682,3299,5127,15,"2020-12-26T00:00:00.000"
"18903",2022-01-07,"SC",1048972,13490,14750,8,"2022-01-07T00:00:00.000"
"18904",2021-12-20,"OR",407153,1861,5534,3,"2021-12-21T17:31:35.018"
"18905",2021-07-09,"NJ",1025477,398,26496,3,"2021-07-10T14:17:36.847"
"18906",2021-08-13,"VA",720128,2302,11615,16,"2021-08-14T14:46:52.851"
"18909",2021-03-26,"SC",549576,1142,9035,11,"2021-03-26T00:00:00.000"
"18910",2022-01-04,"LA",869146,9290,15018,17,"2022-01-05T16:16:33.237"
"18913",2020-09-06,"LA",153764,1395,5093,58,"2020-09-07T13:37:36.613"
"18914",2020-12-17,"LA",279321,3776,6964,31,"2020-12-18T14:45:01.331"
"18915",2021-01-13,"RI",102573,977,2120,15,"2022-01-14T13:53:09.122"
"18916",2020-05-12,"RI",11770,174,565,15,"2022-01-14T13:53:09.122"
"18917",2021-06-17,"OR",205988,290,2745,1,"2021-06-18T13:48:26.536"
"18918",2021-05-06,"RI",148962,207,2692,1,"2022-01-14T13:53:09.122"
"18919",2021-01-01,"VA",358755,3988,5117,36,"2021-01-02T14:50:51.219"
"18920",2022-01-09,"AZ",1477483,15850,24773,69,"2022-01-10T15:08:19.537"
"18921",2020-07-17,"NJ",178264,95,15684,19,"2020-07-17T00:00:00.000"
"18922",2021-06-16,"LA",476792,325,10670,10,"2021-06-17T14:38:09.485"
"18923",2020-03-28,"AZ",773,108,15,2,"2020-03-28T16:22:39.452"
"18924",2021-05-20,"RI",150710,85,2708,0,"2022-01-14T13:53:09.122"
"18925",2020-05-28,"RI",14442,129,793,10,"2022-01-14T13:53:09.122"
"18926",2021-12-18,"OR",405292,0,5531,0,"2021-12-20T14:01:33.649"
"18927",2021-03-07,"MN",490011,895,6618,4,"2021-03-08T14:47:36.155"
"18928",2020-09-12,"OR",29156,291,505,6,"2020-09-13T16:17:15.117"
"18929",2020-08-24,"SC",115896,737,2498,13,"2020-08-24T00:00:00.000"
"18930",2020-07-01,"AZ",84114,4878,1720,88,"2020-07-02T15:10:03.527"
"18931",2020-02-27,"OR",0,0,0,0,"2020-03-26T16:22:39.452"
"18932",2021-09-25,"AZ",1081790,2916,19806,69,"2021-09-27T13:21:43.831"
"18933",2021-08-30,"AZ",1011101,3247,18787,0,"2021-08-31T14:57:22.851"
"18934",2021-08-10,"SC",647197,2259,10001,11,"2021-08-10T00:00:00.000"
"18935",2021-09-05,"WY",77848,321,858,0,"2021-09-06T14:27:21.791"
"18936",2021-12-03,"NJ",1264818,4463,28434,14,"2021-12-04T14:29:01.917"
"18938",2021-07-16,"OR",211998,367,2817,7,"2021-07-17T13:43:02.763"
"18939",2021-02-04,"OR",145320,715,1991,0,"2021-02-05T14:54:41.938"
"18942",2021-03-01,"NJ",792496,3140,23273,21,"2021-03-02T14:54:47.223"
"18943",2021-09-30,"RI",172492,376,2838,1,"2022-01-14T13:53:09.122"
"18944",2021-02-04,"VA",521467,5069,6732,82,"2021-02-05T14:54:41.938"
"18945",2021-04-10,"MN",540277,2449,7022,12,"2021-04-11T13:50:11.988"
"18946",2021-12-16,"OR",404229,900,5527,19,"2021-12-17T14:18:55.723"
"18947",2020-06-29,"WY",1450,33,20,0,"2020-06-30T15:27:33.712"
"18948",2021-01-02,"RI",91101,775,1947,14,"2022-01-14T13:53:09.122"
"18949",2021-01-17,"MN",446380,1333,5995,40,"2021-01-18T14:39:32.141"
"18950",2020-12-12,"VA",281909,3294,4411,2,"2020-12-13T14:31:19.849"
"18951",2021-09-13,"WY",81825,396,879,0,"2021-09-14T14:22:50.463"
"18952",2021-02-23,"NJ",772267,3158,22978,104,"2021-02-24T14:56:12.713"
"18953",2021-11-07,"AZ",1189708,3231,21409,1,"2021-11-08T15:35:12.187"
"18954",2020-08-08,"OR",21010,374,355,7,"2020-08-09T14:03:10.892"
"18956",2021-02-14,"LA",419891,1306,9292,16,"2021-02-15T14:46:24.739"
"18958",2020-12-27,"RI",84866,796,1858,11,"2022-01-14T13:53:09.122"
"18959",2021-03-07,"VA",586592,892,9683,87,"2021-03-08T14:47:36.155"
"18960",2020-01-25,"AZ",0,0,0,0,"2020-03-26T16:22:39.452"
"18961",2021-08-19,"SC",678419,3362,10195,43,"2021-08-19T00:00:00.000"
"18962",2020-10-19,"OR",39794,262,628,8,"2020-10-20T14:59:27.967"
"18963",2020-08-19,"AZ",195628,638,4634,105,"2020-08-20T15:11:45.225"
"18964",2021-05-26,"OR",199784,393,2639,11,"2021-05-27T13:41:41.416"
"18965",2020-04-17,"VA",8053,562,231,0,"2020-04-17T16:22:39.452"
"18967",2020-01-24,"KY",0,0,0,0,"2020-03-26T16:22:39.452"
"18969",2020-08-07,"OR",20636,411,348,9,"2020-08-08T14:58:44.922"
"18970",2020-04-27,"NJ",111188,2150,6044,106,"2020-05-25T15:38:40.000"
"18972",2021-09-28,"VA",863645,3151,12697,49,"2021-09-29T15:04:06.936"
"18973",2021-09-26,"WY",88576,355,955,0,"2021-09-27T14:29:10.948"
"18974",2021-10-27,"NJ",1193201,1289,27929,33,"2021-10-28T14:08:30.340"
"18975",2020-06-19,"VA",57443,650,1607,5,"2020-06-20T14:15:45.452"
"18977",2020-11-29,"OR",74120,1614,905,9,"2020-11-30T14:51:40.262"
"18978",2020-07-25,"VA",84567,958,2078,3,"2020-07-26T15:17:16.725"
"18979",2021-09-07,"RI",164508,137,2786,4,"2022-01-14T13:53:09.122"
"18980",2021-04-25,"OR",180700,770,2485,1,"2021-04-26T13:45:41.711"
"18981",2021-04-03,"LA",445469,0,10161,0,"2021-04-04T13:43:43.841"
"18982",2020-04-05,"MN",986,121,29,5,"2020-04-04T16:22:39.452"
"18983",2021-05-19,"NJ",1012196,444,26030,32,"2021-05-20T15:08:06.001"
"18985",2021-06-27,"RI",151979,18,2733,0,"2022-01-14T13:53:09.122"
"18987",2021-08-13,"KY",513841,3367,8181,26,"2021-08-15T00:00:00.000"
"18989",2021-08-05,"NJ",1045168,1466,26629,4,"2021-08-06T14:53:58.556"
"18991",2021-07-30,"OR",219755,1066,2858,3,"2021-07-31T13:56:41.471"
"18992",2020-09-08,"LA",154329,256,5118,13,"2020-09-09T13:47:50.836"
"18993",2021-01-02,"MN",417832,2530,5436,54,"2021-01-03T14:53:25.031"
"18995",2021-02-01,"KY",372021,1632,6271,35,"2021-02-03T00:00:00.000"
"18996",2021-01-19,"RI",107087,490,2199,19,"2022-01-14T13:53:09.122"
"18997",2021-01-01,"MN",415302,0,5382,0,"2021-01-02T14:50:51.219"
"18998",2021-03-03,"RI",126972,442,2551,0,"2022-01-14T13:53:09.122"
"18999",2021-08-16,"MN",626310,487,7827,3,"2021-08-17T14:24:04.262"
"19000",2021-10-19,"KY",735788,1397,11231,31,"2021-10-21T00:00:00.000"
"19001",2021-02-23,"OR",153645,511,2162,7,"2021-02-24T14:56:12.713"
"19002",2020-04-13,"MN",1695,74,79,9,"2020-04-12T16:22:39.452"
"19004",2021-11-20,"KY",775053,1693,11793,10,"2021-11-22T00:00:00.000"
"19005",2021-06-14,"RI",151716,6,2725,1,"2022-01-14T13:53:09.122"
"19006",2020-09-28,"OR",32994,174,547,0,"2020-09-29T13:50:42.951"
"19007",2021-09-20,"OR",313161,1108,3594,9,"2021-09-21T14:33:33.676"
"19009",2020-08-20,"OR",24165,295,412,4,"2020-08-21T14:27:34.675"
"19012",2021-11-23,"SC",914528,434,14136,6,"2021-11-23T00:00:00.000"
"19013",2021-07-17,"NJ",1028503,549,26536,5,"2021-07-19T13:20:07.101"
"19014",2020-06-15,"KY",13216,185,604,4,"2020-06-17T00:00:00.000"
"19016",2020-04-25,"RI",7209,412,262,15,"2022-01-14T13:53:09.122"
"19017",2020-11-22,"OR",65170,1502,820,1,"2020-11-23T15:04:35.152"
"19018",2020-12-12,"LA",264191,0,6767,0,"2020-12-13T14:31:19.849"
"19019",2020-09-03,"MN",78966,1881,1899,17,"2020-09-04T13:36:16.798"
"19020",2021-05-04,"RI",148514,191,2691,2,"2022-01-14T13:53:09.122"
"19021",2021-09-21,"RI",169623,375,2820,0,"2022-01-14T13:53:09.122"
"19023",2020-06-15,"SC",19683,766,602,5,"2020-06-15T00:00:00.000"
"19024",2020-07-12,"AZ",122500,2538,2237,86,"2020-07-13T15:19:34.972"
"19025",2021-04-16,"NJ",971782,4381,25094,41,"2021-04-17T13:58:33.309"
"19026",2020-04-01,"LA",6424,1187,273,34,"2020-03-31T16:22:39.452"
"19027",2021-06-15,"SC",595542,101,9757,0,"2021-06-15T00:00:00.000"
"19029",2021-02-20,"VA",564115,2303,7331,134,"2021-02-21T14:57:50.842"
"19030",2022-01-01,"WY",115638,0,1526,0,"2022-01-03T13:55:55.033"
"19031",2020-01-27,"VA",0,0,0,0,"2020-03-26T16:22:39.452"
"19032",2020-08-05,"AZ",182260,1699,3932,87,"2020-08-06T14:12:27.571"
"19033",2021-09-16,"AZ",1058774,2855,19360,27,"2021-09-17T13:28:36.627"
"19034",2020-02-09,"AZ",1,0,0,0,"2020-03-26T16:22:39.452"
"19035",2020-04-29,"VA",15846,885,552,30,"2020-04-30T16:07:01.546"
"19036",2020-12-30,"VA",349584,5239,5032,48,"2020-12-31T14:55:07.623"
"19037",2021-04-08,"MN",535182,2524,7000,14,"2021-04-09T14:11:49.640"
"19040",2021-02-12,"KY",393457,1381,6607,24,"2021-02-14T00:00:00.000"
"19043",2021-03-05,"VA",584537,1477,9519,91,"2021-03-06T15:08:48.630"
"19044",2020-12-06,"MN",350862,5581,4043,64,"2020-12-07T14:38:33.257"
"19045",2020-08-01,"VA",91782,981,2218,3,"2020-08-02T14:54:37.126"
"19046",2020-07-21,"WY",2238,51,25,1,"2020-07-22T14:51:28.800"
"19047",2020-10-13,"RI",26999,171,1160,5,"2022-01-14T13:53:09.122"
"19048",2020-08-13,"WY",3119,33,30,1,"2020-08-14T14:30:03.326"
"19049",2020-08-15,"VA",106691,938,2382,1,"2020-08-16T14:57:14.578"
"19051",2021-01-30,"AZ",753821,5122,13098,76,"2021-01-31T14:48:12.513"
"19052",2020-12-25,"KY",260411,1834,4526,42,"2020-12-27T00:00:00.000"
"19053",2020-06-12,"SC",17206,688,581,8,"2020-06-12T00:00:00.000"
"19054",2020-07-04,"SC",43114,1539,794,14,"2020-07-04T00:00:00.000"
"19055",2021-03-07,"OR",157285,206,2296,0,"2021-03-08T14:47:36.155"
"19057",2021-01-25,"SC",442247,3382,6543,5,"2021-01-25T00:00:00.000"
"19058",2021-07-12,"MN",606484,63,7717,2,"2021-07-13T14:26:25.742"
"19059",2020-07-11,"NJ",176385,370,15525,46,"2020-07-11T00:00:00.000"
"19060",2020-06-23,"WY",1254,24,20,0,"2020-06-24T15:03:27.381"
"19061",2020-05-29,"RI",14567,125,801,8,"2022-01-14T13:53:09.122"
"19062",2020-03-22,"SC",222,48,3,2,"2020-03-22T00:00:00.000"
"19063",2020-07-15,"MN",44347,1177,1564,16,"2020-07-16T14:22:21.119"
"19064",2020-06-02,"VA",46905,666,1428,21,"2020-06-03T14:11:36.638"
"19065",2020-03-07,"OR",7,4,0,0,"2020-03-26T16:22:39.452"
"19066",2021-11-09,"AZ",1195483,3118,21486,77,"2021-11-10T15:25:35.567"
"19067",2021-08-06,"SC",635665,3348,9958,11,"2021-08-06T00:00:00.000"
"19068",2020-07-20,"AZ",145224,1560,2784,23,"2020-07-21T14:50:17.717"
"19071",2020-11-18,"MN",242043,5094,3066,67,"2020-11-19T15:01:36.742"
"19072",2020-09-25,"VA",145408,975,3144,8,"2020-09-26T13:46:07.689"
"19074",2020-10-02,"LA",168826,817,5545,26,"2020-10-03T13:39:53.719"
"19075",2020-03-16,"WY",3,0,0,0,"2020-03-26T16:22:39.452"
"19076",2022-01-10,"RI",281092,3392,3143,5,"2022-01-14T13:53:09.122"
"19077",2020-08-15,"AZ",192654,867,4492,69,"2020-08-16T14:57:14.578"
"19078",2021-11-26,"OR",388517,516,5116,0,"2021-11-27T14:19:28.241"
"19079",2021-08-04,"OR",224547,1183,2877,5,"2021-08-05T14:32:13.471"
"19080",2020-09-08,"WY",4103,71,42,0,"2020-09-09T13:47:50.836"
"19084",2021-05-01,"KY",446687,552,7510,3,"2021-05-03T00:00:00.000"
"19085",2020-09-09,"VA",130529,1240,2708,11,"2020-09-10T14:02:53.721"
"19086",2020-04-23,"MN",3185,464,221,42,"2020-05-25T15:38:40.000"
"19087",2020-03-20,"SC",122,46,1,0,"2020-03-20T00:00:00.000"
"19088",2020-06-29,"LA",57081,845,3199,0,"2020-06-30T15:27:33.712"
"19089",2021-02-06,"WY",52618,42,624,0,"2021-02-07T14:46:31.377"
"19090",2021-05-07,"SC",583498,707,9514,6,"2021-05-07T00:00:00.000"
"19091",2020-02-17,"AZ",1,0,0,0,"2020-03-26T16:22:39.452"
"19092",2020-06-04,"LA",41562,429,2883,13,"2020-06-05T15:17:07.242"
"19093",2020-12-19,"OR",101814,1506,1340,36,"2020-12-20T14:32:33.200"
"19095",2020-09-25,"WY",5420,115,50,0,"2020-09-26T13:46:07.689"
"19096",2021-12-26,"LA",790373,0,14953,0,"2021-12-27T16:13:05.921"
