"","submission_date","state","tot_cases","new_case","tot_death","new_death","created_at"
"8375",2020-07-29,"OH",87893,1396,3422,40,"2020-07-30T14:42:43.801"
"8376",2022-01-11,"OH",2226881,19611,30435,363,"2022-01-12T15:21:08.371"
"8377",2020-07-28,"NY",188629,336,8826,4,"2020-07-29T14:34:46.946"
"8379",2020-04-10,"OH",5878,366,231,18,"2020-04-09T16:22:39.452"
"8380",2020-03-04,"IA",0,0,0,0,"2020-03-26T16:22:39.452"
"8381",2021-05-27,"PA",1205486,937,27163,40,"2021-05-27T00:00:00.000"
"8382",2021-03-18,"TN",789887,1070,11658,8,"2021-03-17T00:00:00.000"
"8383",2021-09-30,"NM",253024,1007,4800,13,"2021-10-02T00:00:00.000"
"8384",2020-05-05,"TN",13495,310,219,9,"2020-05-04T00:00:00.000"
"8385",2020-05-09,"TN",14529,195,241,4,"2020-05-08T00:00:00.000"
"8386",2021-05-27,"NY",1149326,631,19742,6,"2021-05-28T13:29:21.497"
"8387",2020-12-20,"OH",622806,8377,8047,16,"2020-12-21T14:39:53.673"
"8389",2021-05-08,"NY",1131817,1939,19540,18,"2021-05-09T13:43:24.481"
"8390",2020-05-23,"NM",6795,170,299,6,"2020-05-25T00:00:00.000"
"8393",2021-09-07,"IA",415967,1183,6307,0,"2021-09-08T15:20:52.224"
"8394",2020-08-24,"SD",11425,149,161,0,"2020-08-25T14:02:54.539"
"8395",2021-08-12,"IA",388248,975,6210,0,"2021-08-13T13:45:25.506"
"8396",2021-09-07,"SD",135229,307,2074,0,"2021-09-08T15:20:52.224"
"8397",2021-08-15,"TN",951259,4864,12967,4,"2021-08-14T00:00:00.000"
"8400",2020-05-30,"NY",166909,624,8100,42,"2020-05-31T14:43:17.781"
"8401",2020-06-10,"NY",172038,249,8416,25,"2020-06-11T14:48:51.509"
"8402",2020-11-20,"OH",335423,8808,5955,65,"2020-11-21T14:59:41.222"
"8403",2021-04-27,"PA",1146000,3811,26072,84,"2021-04-27T00:00:00.000"
"8404",2021-02-18,"NM",181739,407,3471,18,"2021-02-20T00:00:00.000"
"8405",2022-01-04,"IA",592028,4642,8019,161,"2022-01-05T16:16:33.237"
"8407",2021-10-13,"TN",1257858,2252,15734,47,"2021-10-12T00:00:00.000"
"8408",2021-05-01,"NM",197946,213,3955,0,"2021-05-03T00:00:00.000"
"8409",2021-10-08,"SD",147820,351,2171,1,"2021-10-09T13:32:02.767"
"8410",2020-10-07,"TN",204203,1993,2621,24,"2020-10-06T00:00:00.000"
"8411",2021-01-06,"IA",289932,2626,4060,61,"2021-01-07T14:56:59.705"
"8412",2020-07-24,"OH",81746,1560,3297,41,"2020-07-25T17:40:06.519"
"8413",2020-03-11,"IA",14,1,0,0,"2020-03-26T16:22:39.452"
"8414",2021-07-30,"SD",125322,53,2043,0,"2021-07-31T13:56:41.471"
"8415",2021-04-17,"OH",1052099,1987,18991,0,"2021-04-18T13:41:35.271"
"8416",2020-10-25,"IA",115844,1213,1634,3,"2020-10-26T13:41:41.106"
